EURUSD.csv,EURAUD.csv,AUDUSD.csv
130.08882777901206,142.676327779012,0
130.08882777901206,285.352655558024,91.22932777901204
260.1776555580241,428.02898333703604,91.22932777901204
390.2664833370362,570.705311116048,182.45865555802408
520.3548111166722,713.3716391446433,182.45865555802408
650.4441388969317,856.0344671685809,182.45865555802408
780.5539672267385,998.6972951508674,182.45865555802408
910.6472954192694,856.0106305015026,91.28698341457871
1040.8056269747476,998.6784645619823,182.51731125926807
910.6859626477661,1141.3502976414752,273.74313912080163
780.5683000702055,1284.015130109097,273.74313912080163
650.4486383772347,1141.4099620122006,273.74313912080163
520.3289769990963,998.8047934721454,364.97146701647245
650.5068152828399,1141.4511249879044,364.97146701647245
650.5068152828399,1284.0909566523849,364.97146701647245
780.679652562655,1426.7282884341262,456.1947949445567
910.8564894491216,1569.365620256516,456.1947949445567
780.7198266936334,1712.0244518081881,547.4251228540664
650.6131634485778,1854.671283220845,638.6509507559565
520.4865001122793,1997.395615441736,638.6509507559565
390.36983646453217,2140.143449145849,638.6509507559565
260.30317248443504,2282.903284502459,638.6509507559565
130.24150825487942,2425.667121316313,638.6509507559565
0.17984378378795896,2568.434459411247,729.883778646338
-129.88682097017215,2711.2092988026006,821.113106531546
0.21101457256864364,2568.488639714875,912.3414344119001
0.21101457256864364,2711.244480841645,912.3414344119001
0.21101457256864364,2854.0008221157937,1003.5797623067083
-129.8306499151067,2996.7506633388034,1003.5797623067083
-259.8723144548593,3139.5000044702615,1003.5797623067083
-129.77847884141434,3282.243845401811,1094.8130902197568
0.323856757509418,3424.9626858960164,1186.0514181400924
0.323856757509418,3567.6710259498313,1277.2867460598602
130.41769250422743,3710.4193658926897,1368.517573974925
260.5200281831188,3853.1217054415097,1368.517573974925
390.62836373110076,3995.821044625497,1368.517573974925
520.7216993008525,4138.518383470753,1368.517573974925
650.8150348765225,4281.216721994409,1459.7559019218618
780.958370240936,4423.9140602165135,1550.9887298642088
911.158205979077,4566.612398151377,1642.2195578020219
1041.3515419368837,4423.9962358722405,1642.2195578020219
1171.5543782278464,4566.67957338444,1642.2195578020219
1301.7597148480804,4709.3629106959015,1642.2195578020219
1431.9665517783544,4852.046247814153,1551.0428857761665
1562.1743889937622,4994.692085083168,1551.0428857761665
1432.0227266247998,4852.075422160981,1459.8712137453924
1562.2310644705353,4709.458759054778,1551.1055417104722
1692.4404025151214,4566.842095771366,1642.3333696737757
1822.6537407853396,4709.525432317199,1642.3333696737757
1952.8635792064927,4852.168269010715,1642.3333696737757
1822.7189177747216,4994.811105831495,1733.5716976366803
1692.5737564745668,5137.4539427612435,1824.805025595779
1562.4170954319184,5280.136279520763,1824.805025595779
1432.260434617559,5422.784116322561,1916.0403535486328
1562.4437736468205,5565.467452957765,1916.0403535486328
1562.4437736468205,5708.155789423806,1916.0403535486328
1562.4437736468205,5850.841625730449,1916.0403535486328
1692.6271122819162,5993.534461876637,1916.0403535486328
1562.500450824849,6136.268798005664,1824.8686815133021
1562.500450824849,6279.019634247246,1733.7010094747136
1562.500450824849,6421.780970694253,1824.9363374332574
1432.3837890159411,6564.546307371216,1916.1671653891156
1302.267127070708,6707.3156443024145,1916.1671653891156
1172.1504649922583,6850.086481482865,2007.3879933552541
1042.0338027836158,6992.858818907999,1916.2163213206347
1172.1921404108211,7135.632156568084,1916.2163213206347
1172.1921404108211,7278.405994448663,2007.4446492816119
1302.3509777245436,7421.180832541588,1916.2729772419266
1432.5093148890141,7563.957670849777,1916.2729772419266
1562.6726519084496,7706.735009360506,1916.2729772419266
1692.8359887871693,7564.028348017975,2007.5113052115587
1822.9993255293032,7706.80668685639,2098.739633179751
1692.8926621485787,7849.541025573628,2189.9704611453963
1823.0559986388198,7992.268364151801,2281.1962891115827
1953.2193350036548,8134.986702578774,2281.1962891115827
2083.382671246561,8277.740540981034,2281.1962891115827
2213.546007370873,8420.478879283897,2281.1962891115827
2343.709343379791,8563.222217507935,2372.459617151847
2343.709343379791,8705.96605565551,2463.6934451885477
2473.8726792303337,8563.284393746237,2463.6934451885477
2604.036014973425,8706.023231742653,2463.6934451885477
2734.2088506188584,8563.351569644488,2372.486773316337
2864.397186203556,8706.086407443183,2281.280101533078
2994.5705216950455,8848.78724512283,2281.280101533078
2994.5705216950455,8991.485582690202,2372.5239297443413
2994.5705216950455,9134.19442013597,2463.774257964389
3124.753857030498,9276.907757461995,2555.0100861790197
3254.9371922955793,9419.621094671129,2555.0100861790197
3385.120527491422,9562.334431766123,2555.0100861790197
3385.120527491422,9705.047768749631,2555.0100861790197
3515.31386257856,9847.761105624215,2463.7834146522805
3385.1316979661283,9990.474442392351,2463.7834146522805
3254.9525336122324,10133.172779068173,2463.7834146522805
3124.825869206617,10275.877115646053,2463.7834146522805
2994.679204826518,10418.574452136909,2555.0327431356436
3124.8325403686504,10561.265288554932,2646.2830716204057
3254.9858758344667,10703.956124901151,2555.0924001183835
3385.1392112253798,10846.66096115608,2646.327228608784
3515.3200465434275,10989.36729732059,2555.130057126906
3645.513381814951,11132.089133399637,2463.952885639027
3775.706717040188,11274.811469395372,2463.952885639027
3775.706717040188,11417.520305305035,2463.952885639027
3905.9000522422693,11560.232141129802,2555.196214133074
4036.133387570047,11702.9304768806,2646.4200426290727
4166.366723016964,11845.638812550415,2737.6613711183586
4296.5750584566285,11988.34714814082,2828.897199600604
4426.808394005866,12131.044483662723,2737.7005281062497
4557.041729658922,12273.735319127869,2646.503856634251
4687.285065471429,12416.426154536945,2555.292185228129
4817.518401375914,12559.130989873418,2555.292185228129
