EURUSD.csv,EURAUD.csv,AUDUSD.csv
130.0888278,142.6763278,0
130.0888278,285.3526556,91.22932778
260.1776556,428.0289833,91.22932778
390.2664833,570.7053111,182.4586556
520.3548114,713.3718531,182.4586556
650.4441402,856.0349612,182.4586556
780.5545429,998.6980798,182.4586556
910.6484103,855.9984222,91.28696923
1040.812653,998.6752411,182.5172971
910.6785685,856.0609736,273.7431401
780.5458031,713.4560953,273.7431401
650.4123979,570.8462029,273.7431401
520.2814105,428.2378704,364.9715107
650.4674799,570.8863448,364.9715107
650.4674799,713.5295185,364.9715107
780.650251,856.1714414,456.1949206
910.8389959,998.8145713,456.1949206
780.6874763,1141.479896,547.4253443
650.5690698,1284.134026,638.6512849
520.4331045,1426.868557,638.6512849
390.3097072,1569.6317,638.6512849
260.2387268,1712.413297,638.6512849
130.1749683,1855.205686,638.6512849
0.113302005,1998.0086,729.8842356
-129.9514083,1855.257041,821.1137001
0.142360076,1712.491063,912.342177
0.142360076,1855.289136,912.342177
0.142360076,1712.552882,1003.580697
-129.8972784,1569.827161,1003.580697
-259.934915,1427.106063,1003.580697
-129.8472443,1284.394816,1094.814271
0.250989285,1427.142958,1186.052885
0.250989285,1569.88313,1277.288525
130.3427365,1427.16641,1368.519678
260.4450768,1569.899291,1368.519678
390.5554593,1712.631522,1368.519678
520.6528971,1855.363977,1368.519678
650.7523899,1998.099523,1459.75844
780.9037132,2140.836049,1550.99172
650.7600696,2283.57544,1642.223017
780.9620235,2140.916206,1642.223017
911.1760746,2283.638913,1642.223017
781.0234284,2426.363573,1642.223017
650.8712003,2569.090106,1551.045732
781.0889942,2711.782594,1551.045732
650.9243341,2569.117519,1459.873497
520.7720433,2426.456024,1551.108341
390.6212487,2283.797972,1642.336715
520.8401316,2426.519381,1642.336715
520.8401316,2283.901912,1642.336715
390.6869138,2426.58404,1733.575622
260.5359747,2569.269304,1824.80955
130.3763521,2711.995892,1824.80955
0.21968399,2854.690817,1916.04549
130.4000554,2997.422953,1916.04549
130.4000554,3140.161691,1916.04549
130.4000554,3282.899493,1916.04549
260.5834019,3425.64576,1916.04549
130.4538827,3568.435858,1824.873129
130.4538827,3711.245683,1733.704814
130.4538827,3854.069976,1824.940742
0.337212599,3711.30408,1916.172194
-129.7767346,3568.534903,1916.172194
-259.8880281,3425.76513,2007.393717
-389.9967346,3282.994936,1916.221318
-259.8488358,3140.225027,1916.221318
-259.8488358,2997.456128,2007.450323
-129.6975802,3140.291016,1916.277942
0.455783722,2997.516466,1916.277942
130.6166772,2854.743284,1916.277942
260.7800246,2711.9764,2007.51698
390.945754,2569.20672,2098.746048
260.8343803,2711.995269,2189.977642
391.0000445,2569.277921,2281.204272
521.1679595,2712.049064,2281.204272
391.064529,2569.306105,2281.204272
521.2323193,2712.096663,2281.204272
651.4022403,2569.365107,2372.468771
521.2668491,2426.636465,2463.703801
651.4366476,2283.906602,2463.703801
781.6084842,2141.189652,2463.703801
781.6084842,1998.476561,2372.495435
651.4764022,1855.77031,2281.286718
781.6579778,1998.505901,2281.286718
651.5210695,1855.837006,2372.532486
521.38625,1998.579797,2463.784877
651.5756498,2141.329472,2555.022825
781.7669942,2284.081474,2555.022825
911.9602482,2141.393874,2555.022825
911.9602482,1998.709449,2555.022825
911.9602482,1856.028124,2463.792642
781.7658654,1713.349829,2463.792642
651.5761682,1856.076875,2463.792642
521.441128,1713.408229,2463.792642
391.2881555,1856.133696,2555.045405
521.4456613,1998.85497,2646.299309
651.605185,2141.578516,2555.104859
781.7666886,1998.905494,2646.343294
911.9576358,2141.643865,2555.142236
1042.163032,1998.954544,2463.961346
1172.370353,2141.70829,2463.961346
1042.20765,1999.032646,2463.961346
1172.414937,1856.356707,2555.20817
1302.66449,1999.0832,2646.43564
1172.479288,1856.411335,2737.68071
1302.704093,1713.742063,2828.920377
1172.518632,1856.464493,2737.719602
1042.33503,1999.182511,2646.51884
1172.593493,2141.902586,2555.30287
1042.409339,2284.638618,2555.30287
912.2272001,2427.380565,2555.30287
782.0370394,2570.108461,2646.549328
651.8388542,2712.843741,2646.549328
521.6528316,2855.581867,2646.549328
651.8932476,2998.34531,2646.549328
782.1360873,2855.653277,2555.357903
651.9473973,2998.401507,2464.164103
651.9473973,2855.708206,2464.164103
521.7604332,2998.460752,2372.9694
521.7604332,2855.77317,2372.9694
652.011283,2713.092964,2464.212053
521.8245133,2570.408093,2373.020899
652.0755061,2427.73202,2464.268027
782.3291315,2285.053706,2373.0769
652.1294382,2142.392585,2281.880891
782.3832843,2285.071765,2281.880891
782.3832843,2142.409988,2373.143432
782.3832843,2285.112441,2464.391098
912.6501886,2427.818815,2373.194905
782.4465754,2570.549924,2373.194905
912.7137653,2713.285233,2281.994278
782.5103292,2855.998404,2190.793755
652.2994851,2713.297662,2282.051272
522.0963486,2856.040381,2282.051272
391.8959846,2998.800774,2373.309949
261.7144942,3141.545776,2373.309949
131.5403989,3284.285382,2373.309949
131.5403989,3141.557447,2373.309949
131.5403989,3284.327476,2373.309949
261.7737709,3427.100172,2464.570284
261.7737709,3569.860927,2464.570284
131.5991786,3712.620709,2464.570284
261.8325518,3569.902386,2373.374918
261.8325518,3712.661743,2282.159034
261.8325518,3569.975563,2190.963308
261.8325518,3712.749907,2190.963308
131.652953,3855.502229,2190.963308
1.477256262,3998.264012,2099.769752
131.7087288,4141.029746,2099.769752
261.9431046,4283.799924,2008.577889
392.1803758,4141.09398,1917.391712
522.4205343,3998.38755,1917.391712
522.4205343,3855.684618,1826.205239
392.2251398,3998.44421,1826.205239
522.4848389,4141.208208,1826.205239
522.4848389,3998.543311,1826.205239
652.7470169,4141.291408,1917.451626
783.0071504,3998.613565,2008.701654
652.8057074,4141.358645,2099.956829
783.0709178,4284.103122,2099.956829
652.8593321,4141.4279,2008.76668
522.6556704,4284.159019,1917.556602
392.4599746,4141.475718,1917.556602
392.4599746,4284.208408,1917.556602
392.4599746,4426.943547,2008.798136
522.7194227,4569.694014,2008.798136
522.7194227,4712.430918,2008.798136
392.5130421,4855.161365,2008.798136
392.5130421,4997.904195,2100.055794
522.7775921,4855.172427,2100.055794
392.5610653,4712.438157,2191.315095
262.356616,4569.703356,2191.315095
262.356616,4426.970037,2282.592638
262.356616,4284.298501,2282.592638
392.6231836,4141.573544,2191.38095
522.8929499,3998.907328,2282.654682
522.8929499,4141.642444,2191.44386
653.1805894,4284.341115,2191.44386
653.1805894,4427.04186,2191.44386
522.9415768,4569.763272,2100.233101
392.6992467,4712.497182,2100.233101
262.4596946,4855.24595,2191.501372
132.2235147,4998.009527,2191.501372
262.4969137,5140.755975,2191.501372
392.7788097,5283.52571,2191.501372
392.7788097,5426.316885,2191.501372
523.0743289,5283.589931,2191.501372
653.3739912,5426.409943,2282.772449
653.3739912,5569.182728,2191.567316
653.3739912,5711.984558,2191.567316
523.1225207,5569.251416,2100.361311
523.1225207,5426.505669,2009.135331
653.4382035,5283.760822,1917.939555
523.1852815,5141.029115,1917.939555
392.9360386,5283.78962,1917.939555
262.6910573,5141.061306,1917.939555
132.4303878,5283.834439,1917.939555
2.203658545,5426.608858,2009.210357
2.203658545,5569.395625,2100.481876
132.4880601,5712.18272,2100.481876
2.265828068,5854.979733,2191.755646
2.265828068,5997.802154,2191.755646
-127.9618306,5855.052691,2100.524093
2.323401518,5997.868435,2100.524093
2.323401518,6140.677225,2100.524093
132.6032059,6283.511667,2100.524093
132.6032059,6140.730324,2100.524093
262.8866305,5997.94963,2100.524093
262.8866305,5855.170689,2100.524093
132.65573,5712.367031,2100.524093
132.65573,5569.587747,2100.524093
2.433990335,5426.809398,2009.313007
2.433990335,5284.024285,2009.313007
2.433990335,5141.239466,1918.10108
2.433990335,4998.454481,1918.10108
2.433990335,4855.679682,1918.10108
2.433990335,4712.90046,1826.893856
132.7037192,4570.125462,1918.156998
132.7037192,4427.354305,1918.156998
132.7037192,4284.576842,2009.430883
132.7037192,4141.807295,2009.430883
132.7037192,3999.032041,2100.698984
132.7037192,3856.25814,2100.698984
132.7037192,3713.501465,2100.698984
132.7037192,3570.753144,2100.698984
262.9826481,3428.006692,2009.467116
262.9826481,3285.262123,2009.467116
262.9826481,3142.516409,2100.743434
132.7617141,3285.286614,2009.53302
132.7617141,3428.0954,2009.53302
2.544970805,3570.905767,2009.53302
2.544970805,3713.717711,2009.53302
-127.6625784,3570.967314,2009.53302
2.599975684,3428.196441,2009.53302
2.599975684,3285.442907,2009.53302
132.8592399,3428.260744,2009.53302
263.1176731,3285.507359,2009.53302
132.9167788,3142.752824,1918.318146
263.1752134,3000.002187,2009.599959
132.9638328,2857.231646,1918.384024
263.2227685,2714.485572,1827.171322
393.4803132,2571.741482,1918.449444
393.4803132,2428.999393,1827.212587
523.7424161,2571.805633,1918.475826
393.5434543,2429.067889,2009.749321
263.3385803,2286.335238,1918.512082
263.3385803,2429.132461,1827.287045
393.6010562,2571.904688,1918.576021
263.4062531,2714.709082,1918.576021
133.2054835,2857.513124,1918.576021
3.018729834,2714.75287,1918.576021
3.018729834,2857.578915,1918.576021
3.018729834,3000.407374,2009.869531
133.2632046,3143.23776,2009.869531
263.5071449,3000.472103,2009.869531
393.754522,2857.699256,2009.869531
524.0058078,2714.928263,1918.626525
393.817327,2857.72665,1918.626525
263.6227773,2714.952322,1918.626525
263.6227773,2857.774223,1918.626525
133.4321494,3000.596503,1918.626525
3.250391968,3143.422184,1918.626525
-126.9225217,3286.249264,1918.626525
-257.0871204,3143.470216,2009.925328
-126.8746214,3000.693113,1918.692283
3.341721767,2857.917994,1827.458989
133.5608798,2715.144897,1736.225453
263.7803236,2857.934707,1644.977601
133.6043064,3000.744824,1736.274821
3.427046494,3143.539636,1645.04888
-126.7464817,3286.369901,1553.830779
3.470027127,3429.179406,1462.61352
133.690268,3572.020453,1371.371516
263.9097129,3429.243521,1280.164879
133.7337744,3286.452978,1371.442817
3.561512685,3143.66488,1462.711594
-126.6120974,3000.878771,1553.980206
3.604571484,2858.100783,1553.980206
3.604571484,2715.334561,1462.763416
133.820405,2572.570119,1554.037504
264.0438507,2429.807976,1645.316435
394.2658827,2572.602765,1736.590702
394.2658827,2715.415478,1645.372741
264.0864981,2858.215022,1736.652508
133.9106864,3001.032483,1827.932117
3.733423016,3143.84279,1736.713313
-126.425316,3001.087246,1645.49435
3.776103869,2858.318487,1554.27523
133.9865487,2715.558091,1463.042911
264.2004953,2572.793503,1371.823937
394.4179203,2430.047369,1280.604809
264.244223,2572.86729,1189.385527
394.4616249,2715.680134,1098.18161
394.4616249,2858.495398,1006.981058
264.3074956,3001.310058,915.78587
394.5248641,3144.096988,915.78587
524.7456313,3001.330229,1007.032851
394.573171,2858.565832,1098.279674
524.7883946,2715.803804,1189.526838
394.6159994,2858.580916,1098.3305
